# LEAFCAPACITYITERATEDEMO synthetic capacity iteration
# Boundary: 100.0 x 50.0 m rectangle; PmaxW=600.0; CrossAxisM=2.1
gcr,tilt_deg,pitch_m,row_count,module_count,dc_kwp,acres_used
0.5000,20.0000,4.200000,24,1176,705.600000,1.235527
0.5000,50.0000,4.200000,24,1176,705.600000,1.235527
0.4500,20.0000,4.666667,21,1029,617.400000,1.235527
0.4500,50.0000,4.666667,21,1029,617.400000,1.235527
0.4000,20.0000,5.250000,19,931,558.600000,1.235527
0.4000,50.0000,5.250000,19,931,558.600000,1.235527
0.3500,20.0000,6.000000,17,833,499.800000,1.235527
0.3500,50.0000,6.000000,17,833,499.800000,1.235527
0.3000,20.0000,7.000000,14,686,411.600000,1.235527
0.3000,50.0000,7.000000,14,686,411.600000,1.235527
