# LEAFCROSSSECTIONDEMO bilinear-interp 5cm accuracy audit (Q20)
# z(x,y) = 1.0 * sin(2pi*x/200) * cos(2pi*y/200) m; grid 41x41 at 10m
# cut line: (-190,-150) -> (190,170); 100 samples
distance_m,x,y,z_sampled,z_closed_form,abs_error_m
0.000000,-190.000000,-150.000000,-0.000000,-0.000000,0.000000
5.018078,-186.161616,-146.767677,-0.041554,-0.042696,0.001142
10.036155,-182.323232,-143.535354,-0.104483,-0.106341,0.001858
15.054233,-178.484848,-140.303030,-0.186176,-0.187652,0.001476
20.072311,-174.646465,-137.070707,-0.275904,-0.282469,0.006565
25.090389,-170.808081,-133.838384,-0.380367,-0.385960,0.005594
30.108466,-166.969697,-130.606061,-0.486432,-0.492859,0.006427
35.126544,-163.131313,-127.373737,-0.585547,-0.597723,0.012176
40.144622,-159.292929,-124.141414,-0.684767,-0.695203,0.010437
45.162699,-155.454545,-120.909091,-0.767844,-0.780304,0.012460
50.180777,-151.616162,-117.676768,-0.835356,-0.848630,0.013275
55.198855,-147.777778,-114.444444,-0.878270,-0.896605,0.018334
60.216933,-143.939394,-111.212121,-0.906139,-0.921641,0.015501
65.235010,-140.101010,-107.979798,-0.914387,-0.922273,0.007885
70.253088,-136.262626,-104.747475,-0.877106,-0.898225,0.021119
75.271166,-132.424242,-101.515152,-0.837196,-0.850430,0.013234
80.289243,-128.585859,-98.282828,-0.771195,-0.780976,0.009781
85.307321,-124.747475,-95.050505,-0.676031,-0.693012,0.016980
90.325399,-120.909091,-91.818182,-0.583554,-0.590586,0.007032
95.343477,-117.070707,-88.585859,-0.471188,-0.478453,0.007265
100.361554,-113.232323,-85.353535,-0.353248,-0.361834,0.008586
105.379632,-109.393939,-82.121212,-0.243595,-0.246168,0.002573
110.397710,-105.555556,-78.888889,-0.134669,-0.136837,0.002168
115.415787,-101.717172,-75.656566,-0.037830,-0.038906,0.001075
120.433865,-97.878788,-72.424242,0.042044,0.043126,0.001082
125.451943,-94.040404,-69.191919,0.104099,0.105549,0.001450
130.470021,-90.202020,-65.959596,0.143864,0.145622,0.001758
135.488098,-86.363636,-62.727273,0.158017,0.161709,0.003691
