Fixture,CellIndex,Rows,Cols,CenterX,CenterY,HalfWidthDu,HalfHeightDu,DeltaM,R,G,B,Bucket
F1_AT_GRADE_ZERO,0,2,2,0,0,50,50,0,210,210,210,NEUTRAL
F1_AT_GRADE_ZERO,1,2,2,100,0,50,50,0,210,210,210,NEUTRAL
F1_AT_GRADE_ZERO,2,2,2,0,100,50,50,0,210,210,210,NEUTRAL
F1_AT_GRADE_ZERO,3,2,2,100,100,50,50,0,210,210,210,NEUTRAL
F2_NEUTRAL_BAND_UNDER,0,2,2,0,0,50,50,0.04899999999999993,210,210,210,NEUTRAL
F2_NEUTRAL_BAND_UNDER,1,2,2,100,0,50,50,0.04899999999999993,210,210,210,NEUTRAL
F2_NEUTRAL_BAND_UNDER,2,2,2,0,100,50,50,0.04899999999999993,210,210,210,NEUTRAL
F2_NEUTRAL_BAND_UNDER,3,2,2,100,100,50,50,0.04899999999999993,210,210,210,NEUTRAL
F3_NEUTRAL_BAND_OVER,0,2,2,0,0,50,50,0.050000000000000044,255,206,206,CUT
F3_NEUTRAL_BAND_OVER,1,2,2,100,0,50,50,0.050000000000000044,255,206,206,CUT
F3_NEUTRAL_BAND_OVER,2,2,2,0,100,50,50,0.050000000000000044,255,206,206,CUT
F3_NEUTRAL_BAND_OVER,3,2,2,100,100,50,50,0.050000000000000044,255,206,206,CUT
F4_LIGHT_CUT,0,2,2,0,0,50,50,0.30000000000000004,255,189,189,CUT
F4_LIGHT_CUT,1,2,2,100,0,50,50,0.30000000000000004,255,189,189,CUT
F4_LIGHT_CUT,2,2,2,0,100,50,50,0.30000000000000004,255,189,189,CUT
F4_LIGHT_CUT,3,2,2,100,100,50,50,0.30000000000000004,255,189,189,CUT
F5_LIGHT_FILL,0,2,2,0,0,50,50,-0.30000000000000004,189,255,189,FILL
F5_LIGHT_FILL,1,2,2,100,0,50,50,-0.30000000000000004,189,255,189,FILL
F5_LIGHT_FILL,2,2,2,0,100,50,50,-0.30000000000000004,189,255,189,FILL
F5_LIGHT_FILL,3,2,2,100,100,50,50,-0.30000000000000004,189,255,189,FILL
F6_MID_CUT,0,2,2,0,0,50,50,1.5,255,105,105,CUT
F6_MID_CUT,1,2,2,100,0,50,50,1.5,255,105,105,CUT
F6_MID_CUT,2,2,2,0,100,50,50,1.5,255,105,105,CUT
F6_MID_CUT,3,2,2,100,100,50,50,1.5,255,105,105,CUT
F7_MID_FILL,0,2,2,0,0,50,50,-1.5,105,255,105,FILL
F7_MID_FILL,1,2,2,100,0,50,50,-1.5,105,255,105,FILL
F7_MID_FILL,2,2,2,0,100,50,50,-1.5,105,255,105,FILL
F7_MID_FILL,3,2,2,100,100,50,50,-1.5,105,255,105,FILL
F8_SAT_CUT,0,2,2,0,0,50,50,3,255,0,0,CUT
F8_SAT_CUT,1,2,2,100,0,50,50,3,255,0,0,CUT
F8_SAT_CUT,2,2,2,0,100,50,50,3,255,0,0,CUT
F8_SAT_CUT,3,2,2,100,100,50,50,3,255,0,0,CUT
F9_SAT_FILL,0,2,2,0,0,50,50,-3,0,255,0,FILL
F9_SAT_FILL,1,2,2,100,0,50,50,-3,0,255,0,FILL
F9_SAT_FILL,2,2,2,0,100,50,50,-3,0,255,0,FILL
F9_SAT_FILL,3,2,2,100,100,50,50,-3,0,255,0,FILL
F10_OVERSAT_CUT,0,2,2,0,0,50,50,5,255,0,0,CUT
F10_OVERSAT_CUT,1,2,2,100,0,50,50,5,255,0,0,CUT
F10_OVERSAT_CUT,2,2,2,0,100,50,50,5,255,0,0,CUT
F10_OVERSAT_CUT,3,2,2,100,100,50,50,5,255,0,0,CUT
F11_3X3_MIXED,0,3,3,0,0,25,25,0,210,210,210,NEUTRAL
F11_3X3_MIXED,1,3,3,50,0,25,25,0.30000000000000004,255,189,189,CUT
F11_3X3_MIXED,2,3,3,100,0,25,25,-0.30000000000000004,189,255,189,FILL
F11_3X3_MIXED,3,3,3,0,50,25,25,-0.030000000000000027,210,210,210,NEUTRAL
F11_3X3_MIXED,4,3,3,50,50,25,25,0,210,210,210,NEUTRAL
F11_3X3_MIXED,5,3,3,100,50,25,25,3,255,0,0,CUT
F11_3X3_MIXED,6,3,3,0,100,25,25,5,255,0,0,CUT
F11_3X3_MIXED,7,3,3,50,100,25,25,-0.30000000000000004,189,255,189,FILL
F11_3X3_MIXED,8,3,3,100,100,25,25,0.030000000000000027,210,210,210,NEUTRAL
