# LEAFHORIZON far-shading horizon profile
# Site centre: (0.0000, 0.0000)
azimuth_deg_cw_from_N,horizon_elevation_deg
0.000,2.862405
10.000,0.000000
20.000,0.000000
30.000,0.000000
40.000,0.000000
50.000,0.000000
60.000,0.000000
70.000,0.000000
80.000,0.000000
90.000,0.000000
100.000,0.000000
110.000,0.000000
120.000,0.000000
130.000,0.000000
140.000,0.000000
150.000,0.000000
160.000,0.000000
170.000,0.000000
180.000,0.000000
190.000,0.000000
200.000,0.000000
210.000,0.000000
220.000,0.000000
230.000,0.000000
240.000,0.000000
250.000,0.000000
260.000,0.000000
270.000,0.000000
280.000,0.000000
290.000,0.000000
300.000,0.000000
310.000,0.000000
320.000,0.000000
330.000,0.000000
340.000,0.000000
350.000,0.000000
