# LEAFKMLIMPORTDEMO round-trip re-parse of C:\Users\User\AppData\Local\Temp\leafkmlexport_demo.kml
polygon_index,polygon_name,vertex_index,vertex_count,lon_deg,lat_deg,centroid_lon,centroid_lat
0,Site Boundary,0,4,-105.00058802,39.99954955,-105.00000000,40.00000000
0,Site Boundary,1,4,-104.99941198,39.99954955,-105.00000000,40.00000000
0,Site Boundary,2,4,-104.99941198,40.00045045,-105.00000000,40.00000000
0,Site Boundary,3,4,-105.00058802,40.00045045,-105.00000000,40.00000000
1,Tracker Row 1,0,4,-105.00005880,40.00017568,-105.00000000,40.00018018
1,Tracker Row 1,1,4,-104.99994120,40.00017568,-105.00000000,40.00018018
1,Tracker Row 1,2,4,-104.99994120,40.00018468,-105.00000000,40.00018018
1,Tracker Row 1,3,4,-105.00005880,40.00018468,-105.00000000,40.00018018
2,Tracker Row 2,0,4,-105.00005880,39.99981532,-105.00000000,39.99981982
2,Tracker Row 2,1,4,-104.99994120,39.99981532,-105.00000000,39.99981982
2,Tracker Row 2,2,4,-104.99994120,39.99982432,-105.00000000,39.99981982
2,Tracker Row 2,3,4,-105.00005880,39.99982432,-105.00000000,39.99981982
