Label,RadiusM,TopGapM,BotGapM,CrossAxisM,TiltDeg,Fraction
Z1,0,0,0,2,0,0
Z2,0,0,0,2,45,0
Z3,0,0,0,2,89,0
T0R,0.08,0,0,2,0,0.08
T0G,0,0.1,0.1,2,0,0
T0B,0.08,0.05,0.05,2,0,0.08
M30,0.04,0.1,0.1,2,30,0.09
M60,0.04,0.1,0.1,2,60,0.12660254037844387
M89,0.04,0.1,0.1,2,89,0.13998476951563912
P30,0.08,0.05,0.05,2,30,0.105
N30,0.08,0.05,0.05,2,-30,0.105
P89,0.08,0.05,0.05,2,89,0.12999238475781957
N89,0.08,0.05,0.05,2,-89,0.12999238475781957
P90,0.08,0.05,0.05,2,90,0.13
GA,0.05,0.1,0.02,2,45,0.09242640687119286
GB,0.05,0.02,0.1,2,45,0.09242640687119286
C1,0.08,0.05,0.05,1,45,0.23071067811865476
C2,0.08,0.05,0.05,2,45,0.11535533905932738
C3,0.08,0.05,0.05,3,45,0.07690355937288491
XR,5,0,0,2,0,1
XG,0.08,5,5,2,90,1
XE,0.5,1,1,2,30,1
BC,0.5,0.5,0.5,2,89.9,0.9999992384566438
XZ,0.08,0.05,0.05,0,45,0
