# Homeruns
Inverter/MPPT	Circuit	Which	Mod / String	Length (ft)	Circuit Length (ft)	One-Way Length (ft)
1 - a	1	End Homerun	NA	29.69	163.26	81.63
1 - a	1	String	14	82.05	163.26	81.63
1 - a	1	Start Homerun	NA	51.53	163.26	81.63
1 - a	2	String	14	82.07	199.62	99.81
1 - a	2	Start Homerun	NA	69.05	199.62	99.81
1 - a	2	End Homerun	NA	48.51	199.62	99.81
1 - a	3	String	14	80.45	169.62	84.81
1 - a	3	Start Homerun	NA	40.53	169.62	84.81
1 - a	3	End Homerun	NA	48.65	169.62	84.81
1 - a	4	End Homerun	NA	73.15	226.45	113.22
1 - a	4	Start Homerun	NA	71.23	226.45	113.22
1 - a	4	String	14	82.07	226.45	113.22
1 - a	5	Start Homerun	NA	63.05	243.91	121.96
1 - a	5	String	14	82.07	243.91	121.96
1 - a	5	End Homerun	NA	98.79	243.91	121.96
1 - a	6	String	14	78.83	265.19	132.59
1 - a	6	Start Homerun	NA	124.99	265.19	132.59
1 - a	6	End Homerun	NA	61.37	265.19	132.59
1 - b	7	Start Homerun	NA	33.84	111.96	55.98
1 - b	7	String	13	77.79	111.96	55.98
1 - b	7	End Homerun	NA	0.33	111.96	55.98
1 - b	8	String	14	84.42	142.98	71.49
1 - b	8	Start Homerun	NA	47.01	142.98	71.49
1 - b	8	End Homerun	NA	11.55	142.98	71.49
1 - b	9	String	13	79.37	142.07	71.04
1 - b	9	Start Homerun	NA	15.84	142.07	71.04
1 - b	9	End Homerun	NA	46.86	142.07	71.04
1 - b	10	String	13	79.37	114.89	57.44
1 - b	10	Start Homerun	NA	6.96	114.89	57.44
1 - b	10	End Homerun	NA	28.55	114.89	57.44
1 - b	11	End Homerun	NA	41.99	179.66	89.83
1 - b	11	Start Homerun	NA	56.72	179.66	89.83
1 - b	11	String	13	80.95	179.66	89.83
1 - b	12	End Homerun	NA	44.81	166.29	83.15
1 - b	12	Start Homerun	NA	37.06	166.29	83.15
1 - b	12	String	14	84.42	166.29	83.15
1 - c	13	String	14	83.65	129.89	64.94
1 - c	13	Start Homerun	NA	6.10	129.89	64.94
1 - c	13	End Homerun	NA	40.13	129.89	64.94
1 - c	14	String	14	82.07	191.83	95.92
1 - c	14	Start Homerun	NA	66.30	191.83	95.92
1 - c	14	End Homerun	NA	43.46	191.83	95.92
1 - c	15	Start Homerun	NA	26.52	220.09	110.04
1 - c	15	String	14	83.69	220.09	110.04
1 - c	15	End Homerun	NA	109.88	220.09	110.04
1 - c	16	Start Homerun	NA	67.32	238.24	119.12
1 - c	16	End Homerun	NA	88.85	238.24	119.12
1 - c	16	String	14	82.07	238.24	119.12
1 - c	17	End Homerun	NA	92.44	247.13	123.57
1 - c	17	String	14	82.07	247.13	123.57
1 - c	17	Start Homerun	NA	72.63	247.13	123.57
1 - c	18	String	13	80.95	130.83	65.41
1 - c	18	Start Homerun	NA	22.43	130.83	65.41
1 - c	18	End Homerun	NA	27.45	130.83	65.41
1 - d	19	End Homerun	NA	147.96	373.72	186.86
1 - d	19	Start Homerun	NA	136.39	373.72	186.86
1 - d	19	String	14	89.37	373.72	186.86
1 - d	20	End Homerun	NA	52.34	198.33	99.16
1 - d	20	String	13	81.16	198.33	99.16
1 - d	20	Start Homerun	NA	64.82	198.33	99.16
1 - d	21	Start Homerun	NA	32.01	165.12	82.56
1 - d	21	String	13	82.53	165.12	82.56
1 - d	21	End Homerun	NA	50.58	165.12	82.56
1 - d	22	End Homerun	NA	45.65	139.49	69.75
1 - d	22	Start Homerun	NA	11.78	139.49	69.75
1 - d	22	String	14	82.07	139.49	69.75
1 - d	23	String	14	83.69	168.04	84.02
1 - d	23	Start Homerun	NA	0.33	168.04	84.02
1 - d	23	End Homerun	NA	84.02	168.04	84.02
1 - d	24	String	14	82.07	242.60	121.30
1 - d	24	Start Homerun	NA	79.24	242.60	121.30
1 - d	24	End Homerun	NA	81.30	242.60	121.30
1 - e	25	End Homerun	NA	16.35	197.41	98.70
1 - e	25	Start Homerun	NA	97.37	197.41	98.70
1 - e	25	String	14	83.69	197.41	98.70
1 - e	26	Start Homerun	NA	142.35	308.13	154.06
1 - e	26	String	14	83.69	308.13	154.06
1 - e	26	End Homerun	NA	82.09	308.13	154.06
1 - e	27	Start Homerun	NA	90.73	299.16	149.58
1 - e	27	End Homerun	NA	126.36	299.16	149.58
1 - e	27	String	14	82.07	299.16	149.58
1 - e	28	End Homerun	NA	110.29	280.37	140.18
1 - e	28	Start Homerun	NA	88.01	280.37	140.18
1 - e	28	String	14	82.07	280.37	140.18
1 - e	29	Start Homerun	NA	108.82	311.91	155.96
1 - e	29	String	14	87.58	311.91	155.96
1 - e	29	End Homerun	NA	115.51	311.91	155.96
1 - e	30	End Homerun	NA	155.10	400.25	200.13
1 - e	30	Start Homerun	NA	152.62	400.25	200.13
1 - e	30	String	14	92.53	400.25	200.13
1 - f	31	Start Homerun	NA	39.26	148.80	74.40
1 - f	31	End Homerun	NA	33.92	148.80	74.40
1 - f	31	String	13	75.63	148.80	74.40
1 - f	32	End Homerun	NA	14.92	111.80	55.90
1 - f	32	Start Homerun	NA	21.25	111.80	55.90
1 - f	32	String	13	75.63	111.80	55.90
1 - f	33	Start Homerun	NA	0.33	168.04	84.02
1 - f	33	End Homerun	NA	84.02	168.04	84.02
1 - f	33	String	14	83.69	168.04	84.02
1 - f	34	String	14	83.69	241.85	120.92
1 - f	34	Start Homerun	NA	49.95	241.85	120.92
1 - f	34	End Homerun	NA	108.21	241.85	120.92
1 - f	35	String	14	83.69	246.84	123.42
1 - f	35	Start Homerun	NA	40.13	246.84	123.42
1 - f	35	End Homerun	NA	123.02	246.84	123.42
1 - f	36	String	13	77.25	245.64	122.82
1 - f	36	Start Homerun	NA	122.74	245.64	122.82
1 - f	36	End Homerun	NA	45.65	245.64	122.82
5 - a	37	Start Homerun	NA	34.95	183.76	91.88
5 - a	37	End Homerun	NA	66.75	183.76	91.88
5 - a	37	String	14	82.07	183.76	91.88
5 - a	38	End Homerun	NA	46.85	191.81	95.91
5 - a	38	Start Homerun	NA	61.28	191.81	95.91
5 - a	38	String	14	83.69	191.81	95.91
5 - a	39	End Homerun	NA	54.78	182.17	91.09
5 - a	39	Start Homerun	NA	45.32	182.17	91.09
5 - a	39	String	14	82.07	182.17	91.09
5 - a	40	Start Homerun	NA	19.58	145.11	72.55
